Variable ID,Variable name,Variable synonyms,Trait name,Main trait abbreviation,Alternative trait abbreviations,Scale name,Trait description
CO_321:0001166,FnivLBSev_E_00to99,FNIVLB_00_99__SEV,Fusarium leaf blotch severity,FnivLBSev,,Double digit (00-99),"Fusarium leaf blotch (pink snow mold, fusarium patch) severity in the plants caused by the agent Calonectria nivalis (fusarium nivale)."
CO_321:0001167,FoxiWilt_E_pct,FOXYWIL _pct,Fusarium wilt incidence,FoxiWilt,FOXYWIL ,%,Fusarium wilt incidence in the plants caused by the agent fusarium oxysporum. 
CO_321:0001168,GlmCol_E_1to3,GLMCOL_1_3,Glume color,GlmCol,,1-3 GLMCOL scale,Color observation on the outer glume at maturity.
CO_321:0001169,GlmGlau_E_0to9,GLMGLAU_0_9,Glume glaucousness,GlmGlau,,0-9 density scale,Glaucousness in glume.
CO_321:0001170,GlmLng_M_mm,GLMLNG_mm,Glume length,GlmLng,,mm,Length of glume.
CO_321:0001171,GlmPubDen_E_0to9,GLMPUBDEN _0_9,Glume pubescence density,GlmPubDen,,0-9 density scale,Glume hairiness density on outer side of sterile glume.
CO_321:0001172,GlmPubLng_M_um,GLMPUBLNG_um,Glume pubescence length,GlmPubLng,,µm,Glume pubescence length on outer side of sterile glume.
CO_321:0001173,GlmWid_M_mm,GLMWID_mm,Glume width,GlmWid,,mm,Width of glume.
CO_321:0001174,GluA1_M_text,GLUA1_text,Glutenin Glu-A1 composition,GluA1,"Glu-A1, HMW-Glu A1",text,High molecular weight glutenin subunits of glu-a1. 
CO_321:0001175,GluA3_M_text,GLUA3_text,Glutenin Glu-A3 composition,GluA3,"Glu-A3, LMW-Glu A3",text,Low molecular weight glutenin subunits of glu-a3. 
CO_321:0001176,GluB1_M_text,GLUB1_text,Glutenin Glu-B1 composition,GluB1,"Glu-B1, HMW-Glu B1",text,High molecular weight glutenin subunits of glu-b1. 
CO_321:0001177,GluB3_M_text,GLUB3_text,Glutenin Glu-B3 composition,GluB3,"Glu-B3, LMW-Glu B3",text,Low molecular weight glutenin subunits of glu-b3. 
CO_321:0001178,GluD1_M_text,GLUD1_text,Glutenin Glu-D1 composition,GluD1,"Glu-D1, HMW-Glu D1",text,High molecular weight glutenin subunits of glu-d1. 
CO_321:0001179,GluD3_M_text,GLUD3_text,Glutenin Glu-D3 composition,GluD3,"Glu-D3, LMW-Glu D3",text,Low molecular weight glutenin subunits of glu-d3. 
CO_321:0001180,GApp_E_0to9,GRNAPP_0_9,Grain appearance,GApp,GRNAPP,0-9 GRNAPP scale,Appearance of a single grain.
CO_321:0001181,GApp_E_0to9text,GRNAPP_0_9text,Grain appearance,GApp,GRNAPP,0-9 GRNAPP scale + text,Appearance of a single grain.
CO_321:0001182,GCID_M_delta13C,GRAINCID_delta,Grain carbon isotope discrimination,GCID,GrainCID,delta 13C,Grain carbon isotope discrimination at maturity from drought trials provides genotypic effects most likely to be related to transpiration rate or an integrative measurement of stomatal conductance.
CO_321:0001183,GCol_E_1to3,GRNCOL_1_3,Grain color,GCol,GRNCOL,1-3 GRNCOL scale,Grain color.
CO_321:0001184,GCol_M_avalue,GRNCOL_a_value,Grain color,GCol,GRNCOL,a value,Grain color.
CO_321:0001185,GCol_M_bvalue,GRNCOL_b_value,Grain color,GCol,GRNCOL,b value,Grain color.
CO_321:0001186,GCol_M_Lvalue,GRNCOL_L_value,Grain color,GCol,GRNCOL,L value,Grain color.
CO_321:0001187,GCol_E_1to5,GRNCOL_1_5,Grain color,GCol,GRNCOL,1-5 GRNCOL scale,Grain color.
CO_321:0001188,UseTyp_M_1to9+text,USETYP_1_9_text,Grain end use type,UseTyp,,1-9 USETYP scale,Bread wheat end use quality is classified according several quality attributes.
CO_321:0001189,GFP_calc_day,GFILLPERIOD_days,Grain filling period,GFP,"GFillPeriod, GfillP,",day,Time period between anthesis (ds65) and maturity (ds87).
CO_321:0001191,Germ_M_pct,"GERM_pct, GermiTest_pct",Grain germination,Germ,"Germi, GERM, GERMPCT, GERM%, GERMI, Germination percentage",%,Proportion of seed that germinate under proper condition.
CO_321:0001192,GHrd_M_1to3,HRDCLS_1_3,Grain hardness,GHrd,"HRDCLS, GRNHRD",1-3 HRDCLS scale,Grain hardness is used as a grading factor to determine the type of wheat. It is a key determinant for classification of wheat and end product quality.
CO_321:0001193,GHrd_M_1to4,HRDCLS_1_4,Grain hardness,GHrd,"HRDCLS, GRNHRD",1-4 HRDCLS scale,Grain hardness is used as a grading factor to determine the type of wheat. It is a key determinant for classification of wheat and end product quality.
CO_321:0001194,GHrd_M_pct,GRNHRD_pct,Grain hardness,GHrd,"HRDCLS, GRNHRD",%,Grain hardness is used as a grading factor to determine the type of wheat. It is a key determinant for classification of wheat and end product quality.
CO_321:0001195,GHrd_M_1to5,HRDCLS_1_5,Grain hardness,GHrd,"HRDCLS, GRNHRD",1-5 HRDCLS scale,Grain hardness is used as a grading factor to determine the type of wheat. It is a key determinant for classification of wheat and end product quality.
CO_321:0001196,GIron_M_ppm,GRNIRON_ppm,Grain Iron content,GIron,GRNIRON,ppm,Content of iron in grain.
CO_321:0001197,GrnIron_M_mgkg,GRNIRON_mg_kg,Grain Iron content,GIron,GRNIRON,mg/kg,Content of iron in grain.
CO_321:0001198,GMoi_E_pct,GRNH20_pct,Grain moisture content,GMoi,"GRNH20, GrnMoist",%,Moisture content of grain.
CO_321:0001201,GrnSpl_Calc_GrnSpl,"GRNSPL, grains/spikelet, GRNSPL_num",Grain number per spikelet,GrnSpl,,grain/spikelet,Number of grains per spikelet.
CO_321:0001202,GPhos_M_mgkg,GRNPHOS_mg_kg,Grain Phosphorous content,GPhos,GRNPHOS,mg/kg,Content of phosphorus in grain.
CO_321:0001203,GPhos_M_ppm,GRNPHOS_ppm,Grain Phosphorous content,GPhos,GRNPHOS,ppm,Content of phosphorus in grain.
CO_321:0001204,GPlump_E_1to3,GRNPLUMP_1_3,Grain plumpness,GPlump,GRNPLUMP,1-3 GRNPLUMP scale,The degree of endosperm filling.
CO_321:0001205,GProt_Kjl_pct,GRNPROT_pct,Grain protein content,GProt,"GRNPROT, GRNPRO",%,Content of protein (corrected to 12.5% moisture basis) in the whole wheat grain samples.
CO_321:0001206,GProt_NIRS_pct,GRNPROT_pct,Grain protein content,GProt,"GRNPROT, GRNPRO",%,Content of protein (corrected to 12.5% moisture basis) in the whole wheat grain samples.
CO_321:0001207,GReten_M_pct,GRNRETEN_pct,Grain retention,GReten,GRNRETEN,%,Proportion of big grain remaining above the sieve.
CO_321:0001208,GScreen_M_pct,GRNSCREEN_pct,Grain screenings,GScreen,GRNSCREEN,%,Proportion of small grain passing through a sieve.
CO_321:0001209,GSize_E_1to3,GRNSIZE_1_3,Grain size,GSize,"GSiz, Ksize, GrnSize",1-3 SIZE scale,Grain size.
CO_321:0001210,TestWt_M_gl,TESTWT_g_l,Grain test weight,TestWt,,g/l,Test weight or specific weight is the weight of a fixed volume of clean grains.
CO_321:0001211,TestWt_M_kghl,TESTWT_kg_hl,Grain test weight,TestWt,,kg/hl,Test weight or specific weight is the weight of a fixed volume of clean grains.
CO_321:0001212,GVtr_E_1to3,SEDVTR_1_3,Grain vitreousness,GVtr,"SdVtr, SEDVTR",1-3 SEDVTR scale,One of the key quality parameters in the determination of durum quality referring to translucent or glass-like appearance when seeds are transversely sectioned and observed whether not vitreous/partly vitreous/vitreous. it is associated with high protein and hard grain.
CO_321:0001214,GW_M_g100grn,GW100_g,Grain weight,GW,"GrnWt, GrnW, KW, KrnWt",g/100 grain,"Grain weight usually expressed as weight of single, one hundred, two hundred or thousand grains."
CO_321:0001215,GW_M_g200grn,GW200_g,Grain weight,GW,"GrnWt, GrnW, KW, KrnWt",g/200 grain,"Grain weight usually expressed as weight of single, one hundred, two hundred or thousand grains."
CO_321:0001216,GYellBer_M_pct,YELBER_pct,Grain yellow berry incidence,GYellBer,YELBER,%,Refers to grains showing chalky or starchy endosperm areas.
CO_321:0001218,GY_Calc_kgha,"Yld_kgha, GY_kgha, GRNYLD_kg_ha",Grain yield,GY,"GrnYld, Yld",kg/ha,Amount (weight) of grains that was harvested.
CO_321:0001219,GY_Calc_tha,"Yld_tha, GY_tha, GRNYLD_t_ha",Grain yield,GY,"GrnYld, Yld",t/ha,Amount (weight) of grains that was harvested.
CO_321:0001220,GY_M_gPlnt,GRNYLD_g_pl,Grain yield,GY,"GrnYld, Yld",g/plant,Amount (weight) of grains that was harvested.
CO_321:0001221,GY_M_gPlot,PLOTGRNYLD_g,Grain yield,GY,"GrnYld, Yld",g/plot,Amount (weight) of grains that was harvested.
CO_321:0001222,GY_M_kgPlot,PLOTGRNYLD_kg,Grain yield,GY,"GrnYld, Yld",kg/plot,Amount (weight) of grains that was harvested.
CO_321:0001223,GY_PctChk_pct,YLDCHECK_pct,Grain yield,GY,"GrnYld, Yld",%,Amount (weight) of grains that was harvested.
CO_321:0001224,GYFac_Calc_num,YLDFAC_num,Grain yield factor,GYFac,YLDFAC,num,Yield factor.
CO_321:0001225,GZinc_M_mgkg,GRNZINC_mg_kg,Grain Zinc content,GZinc,GRNZINC,mg/kg,Content of zinc in grain.
CO_321:0001226,GZinc_M_ppm,GRNZINC_ppm,Grain Zinc content,GZinc,GRNZINC,ppm,Content of zinc in grain.
CO_321:0001227,GrwCls_E_1to3,GROWTHCLS_1_3,Growth class,GrwCls,,1-3 GROWTHCLS scale,"Classification of vernalization responsive growth habit as winter, facultative or spring wheat."
CO_321:0001228,GrwStg_Zdks_00to99,"GRWSTG_00_99, DECODS",Growth stage,GrwStg,DECODS,Zadoks or decimal code (00-99),Growth/developmental stages based on Zadoks decimal code.
CO_321:0001229,HailDmg_E_0to9,HAILDMG_0_9,Hail damage,HailDmg,,0-9 DAMAGE scale,Plant damage caused by hail.
CO_321:0001230,HailDmg_E_1to5,"HAILDMG_1_5, HailDmg_N_T_S_M_V",Hail damage,HailDmg,,1-5 DMG scale,Plant damage caused by hail.
CO_321:0001232,HI_Calc_pct,HI_pct,Harvest index,HI,,%,A ratio of grain yield to total above ground biomass.
CO_321:0001233,Hd_date_jd,"HEADD_jd, HEADD, HEADDATE",Heading time,Hd,"Head, Heading, H",Julian date (JD),Heading time extends from the time of emergence of the tip of the spike from the flag leaf sheath to when the spike has completely emerged but has not yet started to flower.
CO_321:0001234,Hd_date_ymd,"HEADD_yyyymmdd, HEADD, HEADDATE",Heading time,Hd,"Head, Heading, H",yyyymmdd,Heading time extends from the time of emergence of the tip of the spike from the flag leaf sheath to when the spike has completely emerged but has not yet started to flower.
CO_321:0001236,Hd_relat_1to5,"RELTHD_1_5, RELTHD",Heading time,Hd,"Head, Heading, H",1-5 Phenological relative scale,Heading time extends from the time of emergence of the tip of the spike from the flag leaf sheath to when the spike has completely emerged but has not yet started to flower.
CO_321:0001237,HeatTol_E_1to5,HEATTTOL_1_5,Heat tolerance,HeatTol,,1-5 TOL scale,Plant tolerance to heat conditions.
CO_321:0001238,HelSpInc_E_0to9pcttext,HELSP_0_9text,Helminthosporium species incidence,HelSpInc,,0-9 percentage scale + text,The disease incidence in the plants caused by the agent helminthosporium species.
CO_321:0001239,HelSpLegacy_E_1to9,HELSP_1_9,Helminthosporium species legacy,HelSpLegacy,,1-9 disease scale,The disease incidence/severity/response in the plants caused by the agent helminthosporium species.
CO_321:0001240,HelSpSev_E_00to99text,HELSP_00_99text,Helminthosporium species severity,HelSpSev,,Double digit (00-99) + text,The disease severity in the plants caused by the agent helminthosporium species.
CO_321:0001241,HelSpSev_E_00to99,HELSP_00_99,Helminthosporium species severity,HelSpSev,,Double digit (00-99),The disease severity in the plants caused by the agent helminthosporium species.
CO_321:0001242,HerbicideDmg_E_1to5,"HERBDMG_1_5, HerbDmg_N_T_S_M_V",Herbicide damage,HerbicideDmg,HerbDmg,1-5 DMG scale,Plant damage caused by herbicide.
CO_321:0001243,HesFlyDmg_E_pct,HESFDMG _pct,Hessian fly damage,HesFlyDmg,HESFDMG ,%,"The plant damage caused by hessian fly, Maytiola destructor."
CO_321:0001244,InfertTN_Ct_InTllrm,INFERTNO_tll_m,Infertile tiller number,InfertTN,,infertile tiller/m,"Number of infertile tillers  per unit area, sample or plant."
CO_321:0001245,InfertTN_Ct_InTllrm2,INFERTNO_tll_m2,Infertile tiller number,InfertTN,,infertile tiller/m2,"Number of infertile tillers  per unit area, sample or plant."
CO_321:0001246,ISBM_Calc_gm2_40DAE,ISBM_g_m2,In-season aboveground biomass at forty days after emergence,ISBM,,g/m2,All above-ground biomass at any developmental stage and/or at regular intervals from the emergence to physiological maturity.
CO_321:0001246,ISBM_Calc_gm2_InB,ISBM_g_m2,In-season aboveground biomass at initiation of booting,ISBM,,g/m2,All above-ground biomass at any developmental stage and/or at regular intervals from the emergence to physiological maturity.
CO_321:0001246,ISBM_Calc_gm2_7DAA,ISBM_g_m2,In-season aboveground biomass at seven days after anthesis,ISBM,,g/m2,All above-ground biomass at any developmental stage and/or at regular intervals from the emergence to physiological maturity.
CO_321:0001247,ISBM_Calc_kgha,ISBM_kg_ha,In-season aboveground biomass,ISBM,,kg/ha,All above-ground biomass at any developmental stage and/or at regular intervals from the emergence to physiological maturity.
CO_321:0001248,ISBM_Calc_tha,ISBM_t_ha,In-season aboveground biomass,ISBM,,t/ha,All above-ground biomass at any developmental stage and/or at regular intervals from the emergence to physiological maturity.
CO_321:0001249,ISBM_M_gPlot,ISBM_g_plot,In-season aboveground biomass,ISBM,,g/plot,All above-ground biomass at any developmental stage and/or at regular intervals from the emergence to physiological maturity.
CO_321:0001250,ISBM_M_kgPlot,ISBM_kg_plot,In-season aboveground biomass,ISBM,,kg/plot,All above-ground biomass at any developmental stage and/or at regular intervals from the emergence to physiological maturity.
CO_321:0001251,InsectDmg_E_pct,INSECTDMG_pct,Insect damage,InsectDmg,,%,The plant damage caused by insects.
CO_321:0001252,InsectDmg_E_1to5,"INSECTDMG_1_5, InsectDmg_N_T_S_M_V",Insect damage,InsectDmg,,1-5 DMG scale,The plant damage caused by insects.
CO_321:0001253,TindiInc_E_pct,TINDI_pct,Karnal bunt incidence,TindiInc,"KBInc, TINDI, KB",%,Karnal bunt incidence in the plants caused by the agent Tilletia indica (syn. Neovossia indica). 
CO_321:0001254,LAI_Calc_Idx,LAI_index,Leaf area index,LAI,,index,It is a dimensionless quantity that characterizes plant canopies and defined as the leaf area per unit ground surface area.
CO_321:0001255,LeafCID_M_delta13C,LEAVESCID_delta,Leaf carbon isotope discrimination,LeafCID,LeavesCID,delta 13C,"Leaves carbon isotope discrimination can be measured in the leaves during early canopy development in well irrigated trials, in which case genotypic effects will be related mainly to transpiration efficiency."
CO_321:0001256,Chl_M_CCI,CHL_CCI,Leaf chlorophyll content,Chl,"ChloC, ChlCont, LChl",CCI,Chlorophyll content in leaf green tissue. It includes both chlorophyll-a and chlorophyll-b. Chlorophyll is the green pigment found in plants.
CO_321:0001257,LeafGlau_E_0to9,LEAFGLAU_0_9,Leaf glaucousness,LeafGlau,,0-9 density scale,Glaucousness in leaf.
CO_321:0001258,LeafGlau_E_1to5,LEAFGLAU_1_5,Leaf glaucousness,LeafGlau,,1-5 density scale,Glaucousness in leaf.
CO_321:0001259,LeafLng_M_cm,LEAFLNG_cm,Leaf length,LeafLng,,cm,Length of leaf.
CO_321:0001260,LeafPubDen_E_0to9,LEAFPUBDEN_0_9,Leaf pubescence density,LeafPubDen,,0-9 density scale,Leaf hairiness density.
CO_321:0001261,LeafPubLng_M_um,LEAFPUBLNG _um,Leaf pubescence length,LeafPubLng,,µm,Leaf pubescent length.
CO_321:0001262,PrecoCI_Calc_pct,PRECO_pct__CI,Leaf rust coefficient of infection,PrecoCI,"BwRustCI, LRCI",%,Leaf rust (brown rust) incidence/severity/response in the plants caused by the agent Puccinia recondita. 
CO_321:0001263,PrecoInc_E_1to9,PRECO_1_9,Leaf rust incidence,PrecoInc,"BwRustInc, LRInc",1-9 incidence scale,Leaf rust (brown rust) incidence in the plants caused by the agent Puccinia recondita. 
CO_321:0001264,PrecoLegacy_E_9to1,PRECO_9_1,Leaf rust legacy,PrecoLegacy,"BwRustLegacy, LRLegacy",9-1 PRECO scale,Leaf rust (brown rust) incidence/severity/response in the plants caused by the agent Puccinia recondita. 
CO_321:0001265,PrecoNote_E_text,PRECO_text,Leaf rust notes,PrecoNote,"BrwRustInc, LRInc",text,Leaf rust (brown rust) incidence/severity/response in the plants caused by the agent Puccinia recondita. 
CO_321:0001266,PrecoResp_E_0to4,PRECO_0_4__RESP,Leaf rust plant response,PrecoResp,"BwRustResp, LRResp",0-4 PRECO scale,Leaf rust (brown rust) response in the plants caused by the agent Puccinia recondita. 
CO_321:0001267,PrecoResp_E_1to4,PRECO_1_4__RESP,Leaf rust plant response,PrecoResp,"BwRustResp, LRResp",1-4 PRECO scale,Leaf rust (brown rust) response in the plants caused by the agent Puccinia recondita. 
CO_321:0001268,PrecoResp_E_1to8,PRECO_1_8__ADLTRESP,Leaf rust plant response,PrecoResp,"BwRustResp, LRResp",1-8 rust field response scale,Leaf rust (brown rust) response in the plants caused by the agent Puccinia recondita. 
CO_321:0001269,PrecoSdlgResp_E_0to8,PRECO_0_8__SEEDRESP,Leaf rust seedling response,PrecoSdlgResp,"BwRustSdlgResp, LRSdlgResp",0-8 Rust infection type,Leaf rust (brown rust) response in the plants caused by the agent Puccinia recondita. 
CO_321:0001270,PrecoSev_E_pct,PRECO_pct__SEV,Leaf rust severity,PrecoSev,"BwRustSev, LRSev",%,Leaf rust (brown rust) severity in the plants caused by the agent Puccinia recondita. 
CO_321:0001271,PrecoSev_E_0to12,PRECO_0_12__SEV,Leaf rust severity,PrecoSev,"BwRustSev, LRSev",0-12 Modified Cobb Scale,Leaf rust (brown rust) severity in the plants caused by the agent Puccinia recondita. 
CO_321:0001272,StomaCond_M_mmolm2s,STMCOND_mmol_m2_s,Leaf stomatal conductance,StomaCond,"Cond, GS, STMCOND",mmol/m2/s,Rate of passage of either water vapor or carbon dioxide through the stomata.
CO_321:0001273,StomaFrq_Ct_stomamm2,"STMFRQ_num, STMFRQ",Leaf stomatal frequency,StomaFrq,,stoma/mm2,Number of stomata counted per unit area on the leaf surface.
CO_321:0001274,StomaRes_M_sm,STMRES_s_m,Leaf stomatal resistance,StomaRes,"Res, STMRES",s/m,Resistance to diffusion of water vapor through a plant stomata.
CO_321:0001275,StomaSiz_M_um,STMSIZ _um,Leaf stomatal size,StomaSiz,STMSIZ ,µm,Stomata size.
CO_321:0001276,LeafThk_M_um,LEAFTHK_mm,Leaf thickness,LeafThk,,µm,Measurement of leaf thickness.
CO_321:0001277,LeafTNecro_E_pct,LEAFTNECR _pct,Leaf tip necrosis incidence,LeafTNecro,LEAFTNECR ,%,"A physiological phenomenon caused by hot, dry and windy weather. the whole tip of the flag leaf tends to be necrotic and will often fold over. leaf tip necrosis progresses from the margins of the flag leaf tip and lower leaves as well show some signs of it. leaf tip necrosis is observed to some extent in all wheat varieties containing the leaf rust gene resistance gene lr34."
CO_321:0001278,LeafWid_M_mm,LEAFWID_mm,Leaf width,LeafWid,,mm,Width of leaf.
CO_321:0001279,Lodg_E_0to9pcttext,LODG_0_9text,Lodging incidence,Lodg,LOD,0-9 percentage scale + text,Indicates incidence of lodged plants.
CO_321:0001280,Lodg_E_pct,LODG_pct,Lodging incidence,Lodg,"LOD, LODGPC",%,Indicates incidence of lodged plants.
CO_321:0001281,Lodg_E_0to5pct,LODG_0_5,Lodging incidence,Lodg,LOD,0-5 percentage scale,Indicates incidence of lodged plants.
CO_321:0001282,Lodg_E_0to9pct,LODG_0_9,Lodging incidence,Lodg,LOD,0-9 percentage scale,Indicates incidence of lodged plants.
CO_321:0001283,Lodg_E_1to5,"LODG_1_5, LodgInc_N_T_S_M_V",Lodging incidence,Lodg,LOD,1-5 DMG scale,Indicates incidence of lodged plants.
CO_321:0001284,Lodg_E_1to9,LODG_1_9,Lodging incidence,Lodg,LOD,1-9 incidence scale,Indicates incidence of lodged plants.
CO_321:0001285,UtritInc_E_pct,UTRIT_pct__INC,Loose smut incidence,UtritInc,UTRIT,%,Loose smut incidence in the plants caused by Ustilago tritici.
CO_321:0001286,UtritInc_E_1to9,UTRIT_1_9__INC,Loose smut incidence,UtritInc,UTRIT,1-9 incidence scale,Loose smut incidence in the plants caused by ustilago tritici.
CO_321:0001287,Mat_relat_1to6,"RELTMT_1_6, RELTMT",Maturity time,Mat,"Mt, M, Maturity",1-6 Phenological relative scale,Maturity time starts at hard dough stage (ds87) often called physiological maturity.
CO_321:0001288,Mat_date_jd,"MATD_jd, MATD, MATDATE",Maturity time,Mat,"Mt, M, Maturity",Julian date (JD),Maturity time starts at hard dough stage (ds87) often called physiological maturity.
CO_321:0001289,Mat_date_ymd,"MATD_yyyymmdd, MATD, MATDATE",Maturity time,Mat,"Mt, M, Maturity",yyyymmdd,Maturity time starts at hard dough stage (ds87) often called physiological maturity.
CO_321:0001291,Mat_relat_1to5,"RELTMT_1_5, RELTMT",Maturity time,Mat,"Mt, M, Maturity",1-5 Phenological relative scale,Maturity time starts at hard dough stage (ds87) often called physiological maturity.
CO_321:0001292,HtereInc_E_pct,HTERE_pct__INC,Net blotch incidence,HtereInc,,%,Net blotch incidence in the plants caused by the agent Pyrenophora teres (helminthosporium teres).
CO_321:0001293,HtereSev_E_00to99,HTERE_00_99__SEV,Net blotch severity,HtereSev,,Double digit (00-99),Net blotch severity in the plants caused by the agent Pyrenophora teres (helminthosporium teres).
CO_321:0001294,NodeNO_Ct_node,NODENO _num,Node number,NodeN,,node,Number of nodes in the main stem.
CO_321:0001295,PedGlau_E_0to9,PEDGLAU_0_9,Peduncle glaucousness,PedGlau,,0-9 density scale,Glaucousness in peduncle.
CO_321:0001296,PedLng_M_cm,PEDLNG _cm,Peduncle length,PedLng,,cm,Length of peduncle.
CO_321:0001297,NeckBreak_E_pct,NBREAK_pct,Peduncle neck break,NeckBreak,NBreak,%,Observation of spike break from the base of head.
CO_321:0001298,PedPubDen_E_0to9,PEDPBD_0_9,Peduncle pubescence density,PedPubDen,PEDPBD,0-9 density scale,Peduncle hairiness density.
CO_321:0001299,ErlVig_E_1to5,ERLVIG_1_5,Plant early vigour,ErlVig,ERLVIG,1-5 scoring scale,Capacity of a seedling or plant to grow vegetatively in early stages of development.
CO_321:0001300,GrwHabit_E_1to5,GHABIT_1_5,Plant growth habit,GrwHabit,GHabit,1-5 GHABIT scale,The growth habit of the plant whether erect/semi-erect/semi-spreading/spreading/prostrate.
CO_321:0001302,PH_M_m,PH_m,Plant height,PH,"PlntHt, PHt",m,"Height of plant from ground to top of spike, excluding awns."
CO_321:0001303,PH_E_1to5,RELTPH_1_5,Plant height,PH,"PlntHt, PHt",1-5 RELTPH scale,"Height of plant from ground to top of spike, excluding awns."
CO_321:0001304,HNecro_E_0to1,HNECRO_0_1,Plant hybrid necrosis incidence,HNecro,,0-1 absent-present,Observation of hybrid necrosis.
CO_321:0001305,PhotopResp_E_1to9,PHOTORESPO_1_9,Plant photoperiod response,PhotopResp,PhotoRespo,1-9 PHOTORESP scale,Extent to which long days hasten flowering.
CO_321:0001306,PlntStnd_Calc_Plntha,PLNTSTND_pl_ha,Plant stand,PlntStnd,PStand,plant/ha,Plant population or plant density.
CO_321:0001307,PlntStnd_Calc_Plntm2,PLNTSTND_pl_m2,Plant stand,PlntStnd,PStand,plant/m2,Plant population or plant density.
CO_321:0001308,PlntStnd_Ct_Plntm,PLNTSTND_pl_m,Plant stand,PlntStnd,PStand,plant/m,Plant population or plant density.
CO_321:0001309,PlntStnd_Ct_PlntPlot,PLNTSTND_pl_plot,Plant stand,PlntStnd,PStand,plant/plot,Plant population or plant density.
CO_321:0001310,VgP_calc_day,VEGPERIOD_days,Plant vegetative period,VgP,"VegPeriod, VegP, VP",day,Time period between emergence (ds10) and first node detectable (ds31).
CO_321:0001311,VgP_calc_pct,VEGPERIOD_pct,Plant vegetative period,VgP,"VegPeriod, VegP, VP",%,Time period between emergence (ds10) and first node detectable (ds31).
CO_321:0001312,PlntVig_E_1to5,PLNTVIG_1_5,Plant vigour,PlntVig,Vig,1-5 scoring scale,Capacity of the plant to grow.
CO_321:0001313,EgramInc_E_0to9pcttext,EGRAM_0_9text__INC,Powdery mildew incidence,EgramInc,EGRAM,0-9 percentage scale + text,Powdery mildew incidence in the plants caused by the agent Blumeria graminis (Erysiphe graminis) f. sp. tritici.
CO_321:0001314,EgramInc_E_pct,EGRAM_pct__INC,Powdery mildew incidence,EgramInc,EGRAM,%,Powdery mildew incidence in the plants caused by the agent Blumeria graminis (Erysiphe graminis) f. sp. tritici.
CO_321:0001315,EgramInc_E_0to5,EGRAM_0_5__INC,Powdery mildew incidence,EgramInc,EGRAM,0-5 incidence scale,Powdery mildew incidence in the plants caused by the agent Blumeria graminis (Erysiphe graminis) f. sp. tritici.
CO_321:0001316,EgramInc_E_1to5,EGRAM_1_5__INC,Powdery mildew incidence,EgramInc,EGRAM,1-5 incidence scale,Powdery mildew incidence in the plants caused by the agent Blumeria graminis (Erysiphe graminis) f. sp. tritici.
CO_321:0001317,EgramInc_E_1to9,EGRAM_1_9__INC,Powdery mildew incidence,EgramInc,EGRAM,1-9 incidence scale,Powdery mildew incidence in the plants caused by the agent Blumeria graminis (Erysiphe graminis) f. sp. tritici.
CO_321:0001318,EgramLegacy_E_9to1,EGRAM_9_1,Powdery mildew legacy,EgramLegacy,EGRAM,9-1 disease scale,Powdery mildew incidence/severity/response in the plants caused by the agent Blumeria graminis (Erysiphe graminis) f. sp. tritici.
CO_321:0001319,EgramSev_E_00to99text,EGRAM_00_99text__SEV,Powdery mildew severity,EgramSev,EGRAM,Double digit (00-99) + text,Powdery mildew severity in the plants caused by the agent Blumeria graminis (Erysiphe graminis) f. sp. tritici.
CO_321:0001320,EgramSev_E_00to99,EGRAM_00_99__SEV,Powdery mildew severity,EgramSev,EGRAM,Double digit (00-99),Powdery mildew severity in the plants caused by the agent Blumeria graminis (Erysiphe graminis) f. sp. tritici.
CO_321:0001321,PnegleDmg_E_pct,PNEGLE_pct,Pratylenchus neglectus damage,PnegleDmg,"PNEGLE, RLN",%,"The plant damage caused by root-lesion nematode, Pratylenchus neglectus."
CO_321:0001322,PthornDmg_E_pct,PTHORN_pct,Pratylenchus thornei damage,PthornDmg,"PTHORN, RLN",%,"The plant damage caused by root-lesion nematode, Pratylenchus thornei."
CO_321:0001323,RepP_Calc_day,REPPERIOD_days,Reproductive period,RepP,"RepPeriod, RP",day,Time between double ridge (approx. ds14) and anthesis (ds65).
CO_321:0001324,RepP_Calc_pct,REPPERIOD_pct,Reproductive period,RepP,"RepPeriod, RP",%,Time between double ridge (approx. ds14) and anthesis (ds65).
CO_321:0001325,RsolaInc_E_0to9pct,RSOLA_0_9,Rhizoctonia root rot incidence,RsolaInc,RSOLA,0-9 percentage scale,Rhizoctonia root rot incidence in the plants caused by the agent Rhizoctonia solani. 
CO_321:0001326,RodentDmg_E_pct,RODDMG_pct,Rodent damage,RodentDmg,RODDMG,%,The plant damage caused by rodent.
CO_321:0001327,RootDis_E_1to5,"ROOTDIS_1_5, RootDis_N_T_S_M_V",Root disease development,RootDis,,1-5 DMG scale,The plant damage caused by root diseases.
CO_321:0001328,RLNDmg_E_pct,RLESDMG_pct,Root lesion nematode damage,RLNDmg,"RLESDMG, RLN",%,"The plant damage caused by root-lesion nematodes, Pratylenchus spp."
CO_321:0001329,DnoxiDmg_E_pct,DNOXI_pct,Russian wheat aphid damage,DnoxiDmg,DNOXI,%,"The plant damage caused by Russian wheat aphid, Diuraphis noxis."
CO_321:0001330,SaltTol_E_1to9,SALTOL _1_9,Salinity tolerance,SaltTol,SALTOL ,1-9 TOL scale,Plant tolerance to soil salinity.
